query_name,clip_top1,clip_top5_mean,hybrid_top1,hybrid_top5_mean,hybrid_wins
a3593-_DSC5689,0.890858,0.851986,0.987796,0.985764,1
a2201-050716_220126__I2E4382,0.938893,0.877859,0.986336,0.985939,1
a3903-IMG_2386,0.896141,0.742987,0.983669,0.982784,1
a2331-WP_CRW_6337,0.788842,0.773902,0.986324,0.984306,1
a1641-050707_154744__I2E9457,0.859791,0.808948,0.988782,0.986307,1
a1514-050708_111324__I2E9652,0.852051,0.771432,0.986929,0.984793,1
a2669-jmac_MG_0238,0.738715,0.73083,0.985398,0.984118,1
a3126-DSC_0046-1,0.90385,0.883466,0.991257,0.988169,1
a4501-DSC_0354,0.864137,0.841541,0.986661,0.985466,1
a3732-_DGW6272,0.94751,0.89703,0.983345,0.981565,1
a3536-WP_IMG_0921,0.869112,0.86031,0.990896,0.989349,1
a4821-kme_00032,0.931034,0.910312,0.989929,0.989393,1
a0961-WP_Amanda_3rd_bday037,0.824866,0.806731,0.98525,0.98458,1
a0096-_DGW6249,0.937448,0.93147,0.991892,0.988503,1
a0880-kme_030,0.830425,0.826018,0.993134,0.990247,1
a0087-kme_155,0.806796,0.776502,0.984521,0.983314,1
a3808-IMG_1453,0.933118,0.893706,0.986746,0.986219,1
a4516-DSC_0063,0.939557,0.926206,0.986503,0.985615,1
a0751-kme_582,0.788542,0.778748,0.984155,0.982138,1
a2292-DSC_0040,0.960127,0.876587,0.988914,0.987065,1
a3602-_DSC9759,0.90768,0.886779,0.990746,0.98917,1
a1761-JI2E4450,0.888287,0.875707,0.989781,0.98603,1
a3306-IMG_4969,0.937147,0.924199,0.991178,0.988272,1
a4412-20090417_at_18h17m13__MG_2017,0.829421,0.80621,0.988443,0.985811,1
a1958-IMG_5062,0.850335,0.815695,0.985471,0.982565,1
a0460-IMG_5839,0.8938,0.869233,0.991266,0.989729,1
a0853-20070923_073247__MG_9686,0.848374,0.811791,0.988163,0.986428,1
a3998-dgw_041,0.909908,0.889988,0.991937,0.988545,1
a3159-LS051025_day_2_LL002,0.76804,0.753522,0.985768,0.984837,1
a1564-MB_080329_054,0.835435,0.815952,0.983257,0.981711,1
a3502-jmac_DSC1035,0.771318,0.765157,0.985743,0.983452,1
a0921-IMG_4116,0.899699,0.804299,0.990978,0.987541,1
a0568-_MG_1090,0.783541,0.739033,0.986077,0.982696,1
a3993-IMG_2812,0.84562,0.813482,0.984694,0.982413,1
a1301-07-11-24-at-14h40m51s-_MG_6711,0.818649,0.814542,0.990408,0.986983,1
a2717-_DSC2802,0.760128,0.745951,0.983319,0.982816,1
a4257-DSC_0104-2,0.818107,0.766764,0.987299,0.983895,1
a2935-kme_485,0.773534,0.763756,0.987583,0.986542,1
a4879-IMG_3712,0.866779,0.778383,0.984572,0.982372,1
a2880-_DSC2262,0.816948,0.803588,0.983212,0.982477,1
a1077-20060507_120136__E6B1106,0.884435,0.872838,0.990994,0.989753,1
a2096-jmac_DSC2656,0.890872,0.869683,0.985074,0.982984,1
a1278-kme_467,0.832189,0.824077,0.989794,0.988313,1
a4607-050801_080948__I2E5512,0.948684,0.881302,0.990335,0.987862,1
a0003-NKIM_MG_8178,0.895696,0.87188,0.986361,0.98515,1
a3122-_DGW6312,0.934791,0.919483,0.993701,0.992383,1
a2310-WP_CRW_7814,0.7298,0.716069,0.98159,0.980596,1
a0031-WP_CRW_0736,0.797552,0.783685,0.984774,0.98426,1
a0232-MB_20030906_040,0.79351,0.772004,0.984797,0.984245,1
a3456-DSC_0006-1-2,0.851027,0.841285,0.989804,0.987755,1
a4856-_DSC0013,0.900452,0.890091,0.990896,0.990086,1
a3082-CRW_0184,0.906518,0.846496,0.981171,0.97932,1
a4777-MB_040516_042,0.725408,0.719204,0.987381,0.981421,1
a4091-_DSC0041,0.775464,0.756369,0.984777,0.984025,1
a2157-kme_230,0.875474,0.788189,0.980833,0.975638,1
a4310-DSC_0007,0.836092,0.772833,0.9851,0.984574,1
a4015-kme_168,0.758164,0.724981,0.984295,0.982843,1
a1295-IMG_4898,0.892364,0.890362,0.990624,0.990016,1
a4829-_DGW7882,0.825844,0.813944,0.986388,0.984896,1
a2182-_MG_1566,0.867992,0.850904,0.990275,0.985772,1
a0191-jmac_DSC2666,0.795839,0.780516,0.987704,0.986902,1
a3065-jmac_DSC0967,0.867174,0.859602,0.989866,0.987327,1
a1352-07-11-04-at-17h58m48s-_MG_4012,0.864239,0.850612,0.988687,0.987625,1
a2032-Ja_Pe-31,0.847687,0.834424,0.990979,0.988444,1
a1009-jmac_MG_7831,0.828321,0.821265,0.988213,0.987001,1
a3644-jmac_MG_5959,0.908416,0.882608,0.992986,0.987951,1
a2842-_DSC2876,0.744269,0.706192,0.980597,0.979806,1
a4390-DSC_0161,0.884059,0.839631,0.987896,0.98689,1
a1276-_DSC6183,0.867069,0.807361,0.990137,0.985706,1
a4001-jn_20070824_0168,0.832456,0.820192,0.98673,0.986011,1
a2852-JI2E5666,0.862669,0.846265,0.985483,0.984928,1
a3453-kme_020,0.78882,0.777598,0.988186,0.986303,1
a2346-DSC_0066-1,0.870463,0.830621,0.989606,0.986787,1
a0146-07-11-23-at-10h54m29s-_MG_6544,0.893286,0.829044,0.985284,0.984018,1
a3078-050620_174150__MG_3158,0.873215,0.864992,0.988697,0.988477,1
a3868-IMG_2046,0.827202,0.81142,0.984871,0.983667,1
a4346-_DSC0062,0.905729,0.879506,0.990906,0.988921,1
a2372-kme_139,0.981252,0.922459,0.989854,0.988371,1
a0844-kme_596,0.864406,0.836058,0.985397,0.984656,1
a3583-WP_Amanda_3rd_bday013,0.798211,0.766295,0.984277,0.983217,1
a4798-_DSC0159,0.791538,0.767311,0.986403,0.98538,1
a1882-07-11-23-at-17h04m28s-_MG_6574,0.893286,0.82368,0.985179,0.98333,1
a3359-JI2E5640,0.841856,0.812064,0.982458,0.981415,1
a3469-kme_489,0.868848,0.862998,0.991916,0.989728,1
a0514-jmac_MG_7749,0.746311,0.740182,0.982733,0.981158,1
a3780-JI2E3902,0.823162,0.815333,0.985928,0.984521,1
a1182-_DSC0063,0.873372,0.86816,0.990006,0.98924,1
a1854-kme_290,0.815444,0.808515,0.985532,0.984316,1
a2472-IMG_3946,0.768597,0.759017,0.986653,0.985959,1
a3752-IMG_8290,0.87578,0.815874,0.98479,0.983745,1
a4937-DSC_0419,0.732594,0.716826,0.985501,0.983987,1
a3416-IMG_4746,0.93556,0.915804,0.991054,0.989026,1
a4176-kme_069,0.912906,0.886609,0.984967,0.982034,1
a1062-_DGW6315,0.941701,0.931902,0.994474,0.992679,1
a1461-NKIM_MG_3096,0.774548,0.76619,0.985801,0.984661,1
a3937-dvf_060,0.811531,0.745491,0.984534,0.981982,1
a2328-kme_547,0.825325,0.821508,0.990596,0.988272,1
a3333-kme_549,0.828264,0.809955,0.985271,0.98406,1
a3300-WP_CRW_4927,0.857557,0.802395,0.990641,0.987609,1
a0124-jmac_DSC3133,0.797519,0.763918,0.98825,0.986211,1
a1326-Ja_Pe-67,0.822,0.805146,0.98611,0.985321,1
a0035-dgw_048,0.926938,0.840971,0.990898,0.987697,1
a3432-jmac_DSC3184,0.782485,0.77884,0.9843,0.978852,1
a2125-20080710_001754__MG_9208,0.850522,0.837485,0.976815,0.974373,1
a4741-DSC_0135,0.882901,0.847862,0.987257,0.984612,1
a0041-IMG_4972,0.96274,0.955802,0.993983,0.989654,1
a4291-20090417_at_18h46m58__MG_2026,0.825649,0.801658,0.987369,0.985871,1
a4901-DSC_0234,0.93263,0.896165,0.989706,0.986807,1
a4490-_DSC0008-2,0.785427,0.763753,0.98777,0.98685,1
a2639-_MG_1514,0.856251,0.831511,0.9915,0.988425,1
